Section,Metric,Value
metadata,ticker,CBA
metadata,as_of,2025-08-30
metadata,source,/Users/minhquan/Documents/SIIF/full-year-profit-announcement.pdf
units,currency,AUD
units,scale,1000000
income_statement,revenue,28290
income_statement,gross_profit,
income_statement,operating_income,10116
income_statement,net_income,10116
income_statement,eps_basic,
income_statement,eps_diluted,
balance_sheet,total_assets,
balance_sheet,total_liabilities,
balance_sheet,total_equity,
balance_sheet,shares_outstanding,
cash_flow,operating_cf,
cash_flow,investing_cf,
cash_flow,financing_cf,
cash_flow,free_cf,
derived,pe_ratio_basic,
derived,pe_ratio_diluted,
derived,profit_margin,0.35758218451749735
derived,return_on_equity,
